num,category,title,population
114, 보건복지," 제 아내는 화이자 백신 2차접종 3일후 지속된 발열과 함께 급성뇌출혈로 쓰러졌습니다.
"," 2,144
												"
115, 보건복지," 모더나 2차 맞고 19일 만에 사망한 49세 가장의 아내입니다..
"," 2,126
												"
116, 보건복지," 화이자접종 후 엄마가 벙어리가됐어요
"," 2,099
												"
117, 보건복지," 위드코로나..그리고 백신패스제도..
"," 2,062
												"
118, 보건복지," 백신후 생리부작용(생리지연,생리불순,하혈 및 부정출혈)인정과 시험관아기및 임신준비중 백신패…
"," 2,051
												"
119, 보건복지," 백신맞고 후유증에 시달리는 것도 억울한데 백신패스로 차별까지 받아야 합니까
"," 2,004
												"
120, 정치개혁," 민주주의 헌법 정신을 짓밞고 군사 반란을 주도한 노태우 씨에 대한 국가장 진행을 취소해주십…
"," 1,935
												"
121, 인권/성평등," 불법촬영 범죄  제대로 된 규제를 원합니다
"," 1,932
												"
122, 경제민주화," 씨티은행 단계적 폐지, 청산으로부터 기존 대출을 이용하고 있던 소비자를 보호해주십시오
"," 1,910
												"
123, 육아/교육," 졸속 교육행정으로 인한 아이들의 잃어버린 학교를 되찾아주세요.
"," 1,898
												"
124, 보건복지," 단체급식 영양사의 권한을 돌려주세요!
"," 1,884
												"
125, 보건복지," 백신 접종 후 아버지가 돌아가셨습니다.
"," 1,838
												"
126, 행정," 국민 98%는 종부세와 무관하다는 이억원 기재부 차관은 통계 근거를 제시해 주십시오.
"," 1,829
												"
127, 문화/예술/체육/언론," 오빠찬스와 부정투표로 걸그룹 멤버가 된 *****의 퇴출을 청원합니다.
"," 1,811
												"
128, 인권/성평등," 잔소리 한다고 친누나 살해 후 농수로에 유기한 남동생 사형선고후 신상공개 요청합니다.
"," 1,763
												"
129, 안전/환경," 요양원 치매 환자 등에게 동의 받아 행복도시 소각장 부지를 밀실 불통 행정으로 없애고 자연…
"," 1,725
												"
130, 반려동물," ** 길고양이 연쇄 살해범을 제발 잡아주세요.
"," 1,717
												"
131, 교통/건축/국토," 성남 **마을의 남녀공용 전환을 촉구합니다.
"," 1,674
												"
132, 보건복지," 코로나백신후 40대 남자 돌연사
"," 1,652
												"
133, 교통/건축/국토," 요소수 문제 해결 간곡히 부탁드립니다.
"," 1,638
												"
134, 보건복지," 접종 강요하는 '백신 패스' 결사 반대!
"," 1,618
												"
